Signal,Oscillation,Length,Period,N_periods,Waveform,Smooth_factor,Disturbance_Level,Noise_level,Frequency_change_factor
35,0,261,26.25237346215226,9.941958214798394,sin,0.45120259092166326,4.347000160161959,0.01956820173383715,0.6842749872393562
36,0,6111,34.035628323909116,179.54714811911336,sin,0.27369748357470125,0.14736961134869683,0.060556219704210906,0.5300290437508666
37,2,457,35.18814865609467,12.987327195483088,squ,0.32065255776392043,4.090887017889288,0.01862108063681889,1.4954343783790662
38,0,279,23.348345026213916,11.94945507644152,sin,0.08493884379373767,1.0332592639722527,0.24607220120970996,1.5352252746810258
39,0,3529,57.46870795554788,61.40733149472729,tri,0.42197790972332855,0.5026736947301119,0.08461772929419333,0.6884950621462134
40,2,1254,56.826352940494,22.067226473483746,sin,0.15868102030276632,3.4749667006797944,0.10703468493808521,0.6902778431818837
41,0,4589,156.14748844187716,29.388881280073647,squ,0.018274592329538594,1.3679031009418408,0.09796418556798103,0.5532607349028525
42,2,2784,92.79860908879559,30.000449654758214,sin,0.4778293698811156,3.2312951764983806,0.032586911192330204,0.6552862294791506
43,0,1480,39.80867537186144,37.17782584260843,tri,0.06821725082676708,0.19029743903421742,0.09347894508023724,0.5768037971571808
44,1,1457,24.46638184163341,59.55110197457495,squ,0.25809813087012856,1.6477028648402894,0.09911751914383386,0.5117688882697213
45,0,2257,67.76288151992821,33.30732031128642,tri,0.06878741422508948,0.6188585988464549,0.03818269632151951,0.5240678404332366
46,2,425,55.46168692956163,7.662947586498145,sin,0.3741915823314972,0.9128525107975434,0.10784000646952703,0.7889091563846907
47,0,452,21.268178839410773,21.252407336467673,squ,0.46928126991117464,0.8983680488100434,0.20952903814291798,1.1337408119473709
48,1,1453,9.889546426223419,146.92281499859098,sin,0.006011532287519785,0.42548567270916887,0.01796273546736828,0.9369066224635394
49,0,5366,142.29249417563463,37.71105448033424,sin,0.41246124073170354,2.2727140685178266,0.019458933943174272,0.6796629644295364
50,0,2330,30.183277966612728,77.19506153630273,tri,0.2652876287773599,1.3017894027369898,0.03352082663226021,0.5553160849399537
51,1,2142,70.0731873744789,30.568040077196912,sin,0.13580671047499646,0.20415067578490936,0.24619896192890645,0.5272630905816995
52,0,1685,235.65023765837861,7.150427755743404,tri,0.35634776638370413,0.9023538723878781,0.158378427158384,0.5979448523254633
53,2,386,73.12845752649048,5.278382903949165,squ,0.024572209730769515,0.7920943007907545,0.015452923762497081,1.0019963738487279
54,0,2630,143.09744619689675,18.379084112942294,sin,0.4415636836838047,0.2823965424265078,0.006720621245762579,0.5807958398057051
55,2,2212,197.84046258379,11.180725980476147,squ,0.36271910729839046,1.62525162632534,0.0667135329150978,1.391060300693767
56,1,1243,25.45452196432013,48.83218792096454,tri,0.28492683333866464,1.4718839460945414,0.0648966749710188,0.5362715549873032
57,2,2082,182.1529099958594,11.429957391552662,sin,0.3731544220602845,0.5612321163726661,0.05683471165917675,0.6987559045559879
58,1,1899,40.28473732436262,47.13944104214277,squ,0.06830530238610194,0.6801139070697758,0.1134363337044966,0.9669852052777876
59,1,2525,25.97222462493715,97.219242343054,sin,0.5689629812717428,0.8967520824312746,0.11772440948560536,0.6349439937743853
60,1,1703,53.62075957073192,31.76008720565676,tri,0.11737282397150842,0.03498519542437374,0.05585479876574659,0.5457687050803177
61,2,3241,29.835305527421863,108.62969031844409,tri,0.036458187078312256,0.14513723394267453,0.01151769532566891,0.9257760734166827
62,2,2960,20.443428115025977,144.7898064524898,sin,0.05991970713494571,0.10181276899730861,0.03131828091393474,0.5195842852565268
63,0,2650,15.420195285781276,171.8525576938396,tri,0.23119654471770346,2.9846245506370366,0.019128570480610473,0.5033410432241281
64,0,2446,47.247055483541985,51.77042198644609,squ,0.2021497874370391,1.288061318905273,0.3899928040624212,0.6633370577232091
65,2,3696,137.42422816103434,26.894820872990536,squ,0.47116042481606124,1.009346478390556,0.27400609982504326,0.5190193759149961
66,0,1120,31.878638836116803,35.13324410611596,squ,0.021301548648659924,0.4007353573051665,0.1390905141685293,0.6199974199896799
67,0,2246,14.922065151779044,150.51535944622427,sin,0.45406845304275345,2.162903433891612,0.031982480811972656,0.5800582131397987
68,0,1509,58.09891129144033,25.97294796851589,sin,0.2538415435378105,2.4396757013729693,0.005937643581222107,0.5961077452024168
69,1,10341,62.163518985660545,166.3515864085074,sin,0.0744114711315421,1.3509521018126547,0.008789810584293206,0.7772535598911203
70,0,1742,20.99233094025032,82.9826856749824,tri,1.159887012742877,2.836035519388105,0.15294320869839284,0.6263431617658015
71,0,425,23.784066443278824,17.86910581559115,sin,0.13693173329525427,0.14676472843109412,0.08699885180883954,0.7276754739703051
72,2,1241,13.292086189135771,93.36382433438672,tri,0.10606658073589614,1.4893586244996702,0.031593212862852556,0.7150669162777565
73,0,2252,127.65850635967779,17.64081426469922,squ,0.05034789837565493,0.6586689863052043,0.022794926060866083,0.7506416551621767
74,2,3065,66.98755547886928,45.75476710695662,tri,0.006137214129743419,2.1501357834330572,0.0036231204950374937,0.9098527950587656
75,1,700,161.4365542567211,4.336068762263345,squ,0.19923036249298323,0.3875358396612944,0.23359524352982214,1.5534793110134848
76,2,906,72.00085646071479,12.583183652743536,squ,0.031708844152906174,2.0181569733292886,0.12374470139568855,0.5693332675601646
77,0,1403,124.45802794335908,11.272876673238837,sin,0.23147187460171212,0.5574413310234231,0.19171738679215414,0.7030890651148498
78,0,1967,14.326358766027518,137.29936769867862,sin,0.16204550213939362,0.49048378202507076,0.21674257684239162,0.8218662629332323
79,1,843,128.48503717031488,6.561075270442201,sin,0.05569748215912688,0.23035417559996088,0.006027580115318392,0.5818912399301981
80,2,3324,33.79800982115278,98.34898615597317,tri,0.23304981469547179,1.4866081474636257,0.045874697612736465,1.197444685495768
81,0,1666,53.68465437266687,31.03307676035316,tri,0.4935192528768238,1.1629952007352728,0.18957542742971503,0.7237160399166898
82,2,3637,1307.325613444058,2.7820154080960577,squ,0.05751360690158071,0.3302855461600216,0.06472575068793758,0.6922329692142686
83,0,2001,39.99859684180447,50.02675488627786,squ,0.0923876210079419,1.877328787097803,0.16765874367604602,0.674537706339496
84,0,1650,48.2227455000302,34.21621856845473,squ,0.026367306905973976,0.3834236474184954,0.04370584665122266,0.6266359735257415
85,0,7141,76.09924671321042,93.83798537338689,squ,0.5945242566457646,0.5226284142753912,0.16625824349805335,1.0655830568115585
86,2,2003,44.36182471340823,45.151433984964086,tri,0.019013354305397728,0.42732698201589886,0.06852920381150318,0.5414302815034157
87,1,1096,37.023383678637074,29.602912837823755,tri,0.13732862256152226,0.804764949469356,0.030011952559590757,0.9835235127903998
88,0,251,29.94657393600682,8.381593184461261,tri,0.24148818008618056,1.8238462478619712,0.01930606021663503,0.52863325936162
89,1,1657,28.95515661071862,57.22642161039501,squ,0.08866936846162507,0.2722732358174487,0.27916027394489407,1.0392798292913907
90,0,1315,263.9688197448697,4.981648973810504,sin,0.013075047222345476,0.17271801897763886,0.09721699438996362,0.6228980020895803
91,1,2120,37.85099580101115,56.00909448050417,sin,0.05348711634449182,0.2758815258800023,0.004903082978353748,0.5152306887898289
92,0,2412,49.899856584511085,48.33681226949027,sin,0.17995138106320197,1.036261583908171,0.0962916704576805,0.8784971433624595
93,1,2688,61.60335007920955,43.63399062784364,squ,0.7074233294576577,0.28750403693450577,0.018369954052719985,1.0532591662219466
94,0,2100,95.91634575024818,21.89407846570892,tri,0.10546487674976678,0.01995467308600209,0.04976873026528716,0.5010231292113521
95,2,3206,337.72001456062276,9.493070773939884,tri,0.4460098379968271,1.0626436087471696,0.24200888268721094,0.51704637265764
96,1,1907,27.240674202673986,70.00560947249998,squ,0.06704734000209474,0.3915646647193002,0.008472724437850066,1.3430697451270852
97,0,2914,48.64968435132854,59.89761370199771,sin,0.1562754344523294,0.12454758666939254,0.23185612591282184,0.7016234570520226
98,2,7781,58.4847916922928,133.04313437480175,tri,0.04237234045300173,0.8366795543595318,0.029856650880163673,0.6923101607552736
99,2,3048,37.797778382678295,80.63966006522797,squ,0.31154801689662515,0.23400457007985476,0.08569209751320837,0.6696440015183474
